mmsi,vessel_name,imo,vessel_type,best_time,latitude,longitude,sog,cog,distance_km,time_diff_min,score,closest_distance_km,closest_time
367495070,MISSISSIPPI IV,,30.0,2018-09-26 17:13:36+00:00,28.87674,-89.41912,8.1,73.4,38.56686075637284,169.6,9.510019408970617,10.788910113510424,2018-09-26 19:14:35+00:00
548960000,,,,2018-09-26 17:31:41+00:00,28.77238,-89.38778,10.4,325.9,38.344796495128904,187.68333333333334,10.090590760624002,33.92378723325112,2018-09-26 18:55:51+00:00
218614000,MSC TORONTO,IMO9299525,70.0,2018-09-26 17:41:40+00:00,28.9256,-89.41485,12.4,32.8,38.08694640508036,197.66666666666666,10.397583529396925,33.789095055287554,2018-09-26 18:12:38+00:00
563944000,ALPINE ETERNITY,IMO9430272,80.0,2018-09-26 10:42:40+00:00,29.00842,-89.34925,10.3,34.6,33.65463985650717,221.33333333333334,10.743241763428495,33.65463985650717,2018-09-26 10:42:40+00:00
356423000,TURMOIL,IMO9479838,80.0,2018-09-26 17:50:47+00:00,28.77201,-89.39114,7.7,330.0,38.6629562250962,206.78333333333333,10.759073400287399,34.167237629089236,2018-09-26 23:58:56+00:00
367594140,NGUYEN T J,IMO8958291,30.0,2018-09-26 18:25:52+00:00,28.86317,-89.41852,8.5,77.7,38.662410012608454,241.86666666666667,11.928463223483067,8.780835984877287,2018-09-26 20:50:37+00:00
367740720,COPPER MOUNTAIN,IMO8976607,31.0,2018-09-26 08:34:17+00:00,28.79524,-88.90052,8.5,97.2,17.132634945666247,349.71666666666664,13.370485716788847,10.234833822801185,2018-09-26 07:41:45+00:00
367642980,CAPT ELLIOTT MCCALL,IMO9744453,90.0,2018-09-26 07:40:58+00:00,28.87296,-88.9905,18.1,82.2,4.8270825879833765,403.03333333333336,13.917152703242783,4.016866896017324,2018-09-26 07:35:17+00:00
357759000,LOCH MAREE,IMO9658800,79.0,2018-09-26 19:45:11+00:00,29.00882,-89.34981,12.1,213.9,33.721014318639455,321.18333333333334,14.078212542975056,33.721014318639455,2018-09-26 19:45:11+00:00
366914750,CANDY COTTON,IMO9026497,60.0,2018-09-26 07:50:16+00:00,28.99558,-89.0088,20.3,71.2,10.211979047981824,393.73333333333335,14.145642349242626,8.64490069570797,2018-09-26 07:41:23+00:00
538005074,INTREPID EAGLE,IMO9467615,70.0,2018-09-26 08:39:25+00:00,29.00847,-89.34932,11.2,33.1,33.66293580660816,344.5833333333333,14.852404691771927,33.66293580660816,2018-09-26 08:39:25+00:00
310707000,SITEAM DISCOVERER,IMO9326938,80.0,2018-09-26 20:11:10+00:00,29.00689,-89.35087,13.0,214.1,33.74534307437034,347.1666666666667,14.946756529659257,33.74534307437034,2018-09-26 20:11:10+00:00
311000137,CS JADEN,IMO9660061,70.0,2018-09-26 20:33:10+00:00,29.00824,-89.34989,14.3,213.0,33.706334669881564,369.1666666666667,15.676189022543712,32.936492412703345,2018-09-26 22:25:10+00:00
367415160,YELLOWFIN,IMO9565584,31.0,2018-09-26 08:05:56+00:00,29.00836,-89.34927,6.3,34.0,33.654191999721654,378.06666666666666,15.967641422194387,33.654191999721654,2018-09-26 08:05:56+00:00
367187790,SEA DOPHIN,IMO8941121,30.0,2018-09-26 21:57:16+00:00,29.00945,-89.10023,8.2,198.9,13.790239059058722,453.26666666666665,16.48791279479476,11.916083443943423,2018-09-26 22:10:14+00:00
366803040,LITTLE ANDREW,,30.0,2018-09-26 06:33:32+00:00,29.00845,-89.01469,8.3,33.7,11.569120736758695,470.46666666666664,16.83913429589809,7.125830664706612,2018-09-26 06:00:00+00:00
538006856,TRF KOBE,IMO9733363,80.0,2018-09-26 07:38:02+00:00,29.00932,-89.34897,9.7,36.9,33.663355511294775,405.96666666666664,16.898557773351698,33.663355511294775,2018-09-26 07:38:02+00:00
367529040,K-MARINE VIII,IMO8977144,60.0,2018-09-26 22:27:38+00:00,28.98697,-89.00797,15.0,233.5,9.279595472076352,483.6333333333333,17.049070658318747,6.318450954752866,2018-09-26 22:42:38+00:00
256313000,SEABEE,IMO9698941,70.0,2018-09-26 06:33:48+00:00,28.77334,-89.00755,11.7,248.4,14.702011159851084,470.2,17.14353444931844,11.832124332233402,2018-09-26 06:08:18+00:00
367594510,GRACE,IMO8975809,60.0,2018-09-26 22:26:49+00:00,29.00944,-89.04979,15.1,225.8,11.903427870708178,482.81666666666666,17.284231675959706,9.356886636431106,2018-09-26 22:41:08+00:00
636012767,ASOPOS,IMO9309253,80.0,2018-09-26 21:42:02+00:00,29.00588,-89.35172,12.1,215.0,33.78582875078317,438.03333333333336,17.979693986189428,33.78582875078317,2018-09-26 21:42:02+00:00
366970330,CHERAMIE BOTRUC 39,IMO9320166,90.0,2018-09-26 21:28:44+00:00,28.83659,-89.41977,9.2,94.1,39.25023418562045,424.73333333333335,18.082801196339823,7.36740872680332,2018-09-26 23:30:54+00:00
538003254,STOLT MEGAMI,IMO9425980,80.0,2018-09-26 21:32:35+00:00,28.92,-89.41872,10.7,32.0,38.43145136333032,428.5833333333333,18.12925624744414,33.6736730153894,2018-09-26 22:12:15+00:00
367475170,FEDERAL PILOT 1,,90.0,2018-09-26 06:57:57+00:00,28.96285,-89.37775,0.0,130.6,35.000564164266656,446.05,18.36838974976,34.495421190866175,2018-09-26 06:01:11+00:00
477985300,GENCO CHALLENGER,IMO9287429,70.0,2018-09-26 21:42:47+00:00,28.91824,-89.41994,10.6,32.2,38.5422961301265,438.78333333333336,18.48034072412376,33.58979327230771,2018-09-26 22:21:57+00:00
