mmsi,vessel_name,imo,vessel_type,best_time,distance_km,ais_course,wind_slick_difference_deg,ais_slick_difference_deg,wind_score,ais_score,directional_score,proximity_score,final_attribution_score
367529040,K-MARINE VIII,IMO8977144,60.0,2018-09-26 22:27:38+00:00,9.279595472076352,233.5,4.5789104925043205,0.19999999999998863,94.9123216749952,99.77777777777779,97.34504972638649,62.88161811169459,83.55967708050973
367642980,CAPT ELLIOTT MCCALL,IMO9744453,90.0,2018-09-26 07:40:58+00:00,4.8270825879833765,82.2,4.5789104925043205,28.5,94.9123216749952,68.33333333333333,81.62282750416426,80.6916696480665,81.25036436172516
367659220,LADY JENNIE,IMO8961274,30.0,2018-09-26 16:53:32+00:00,11.745951726554932,230.6,4.5789104925043205,3.0999999999999943,94.9123216749952,96.55555555555556,95.73393861527538,53.016193093780274,78.64684040667734
366989120,MARY GRACE,IMO9320350,60.0,2018-09-26 14:02:17+00:00,7.219575359316299,259.3,4.5789104925043205,25.600000000000023,94.9123216749952,71.55555555555553,83.23393861527536,71.1216985627348,78.38904259425914
366983730,MR LLOYD,IMO8988480,60.0,2018-09-26 14:54:01+00:00,9.295656473039807,72.8,4.5789104925043205,19.100000000000023,94.9123216749952,78.77777777777774,86.84504972638646,62.81737410784076,77.23397947896818
367594510,GRACE,IMO8975809,60.0,2018-09-26 22:26:49+00:00,11.903427870708178,225.8,4.5789104925043205,7.899999999999977,94.9123216749952,91.22222222222224,93.06727194860872,52.38628851716729,76.79487857603215
367302430,THE SHOOTIST,IMO8036574,30.0,2018-09-26 00:53:48+00:00,11.740228335679838,44.3,4.5789104925043205,9.399999999999977,94.9123216749952,89.55555555555557,92.23393861527538,53.039086657280656,76.55599783207748
366914750,CANDY COTTON,IMO9026497,60.0,2018-09-26 07:50:16+00:00,10.211979047981824,71.2,4.5789104925043205,17.5,94.9123216749952,80.55555555555556,87.73393861527538,59.15208380807271,76.30119669239431
366872570,DAY ANGEL,IMO8980036,30.0,2018-09-26 17:41:07+00:00,11.50871374568182,221.0,4.5789104925043205,12.699999999999989,94.9123216749952,85.8888888888889,90.40060528194205,53.96514501727272,75.82642117607432
367375990,SANTA MARIA IV,IMO8940189,30.0,2018-09-26 14:23:26+00:00,15.045041308360606,235.8,4.5789104925043205,2.1000000000000227,94.9123216749952,97.66666666666664,96.28949417083092,39.81983476655757,73.70163040912158
367413160,DUSTIN DANOS,IMO8964458,90.0,2018-09-26 04:29:50+00:00,13.061727348376134,65.5,4.5789104925043205,11.800000000000011,94.9123216749952,86.88888888888889,90.90060528194203,47.75309060649546,73.64159941176341
367669990,CAPT ANDRE,IMO7733187,30.0,2018-09-26 17:03:41+00:00,12.288617311874628,217.2,4.5789104925043205,16.5,94.9123216749952,81.66666666666667,88.28949417083093,50.84553075250149,73.31190880349916
366803040,LITTLE ANDREW,,30.0,2018-09-26 06:33:32+00:00,11.569120736758697,33.7,4.5789104925043205,20.0,94.9123216749952,77.77777777777779,86.34504972638649,53.72351705296521,73.29643665701798
372123000,MSC LEIGH,IMO9320439,70.0,2018-09-26 14:23:49+00:00,15.59461901896918,235.2,4.5789104925043205,1.5,94.9123216749952,98.33333333333333,96.62282750416426,37.62152392412328,73.02230607214787
367743640,MASTER PAUL,IMO8990639,30.0,2018-09-26 15:28:55+00:00,15.12586359978073,239.8,4.5789104925043205,6.100000000000023,94.9123216749952,93.2222222222222,94.06727194860869,39.49654560087708,72.23898140951604
256313000,SEABEE,IMO9698941,70.0,2018-09-26 06:33:48+00:00,14.702011159851084,248.4,4.5789104925043205,14.700000000000017,94.9123216749952,83.66666666666664,89.28949417083092,41.191955360595664,70.05047864673682
367187790,SEA DOPHIN,IMO8941121,30.0,2018-09-26 21:57:16+00:00,13.790239059058722,198.9,4.5789104925043205,34.79999999999998,94.9123216749952,61.33333333333335,78.12282750416428,44.839043763765105,64.8093140080046
367680870,LUCKY STAR,IMO9242883,30.0,2018-09-26 14:24:33+00:00,18.033737683708967,265.8,4.5789104925043205,32.10000000000002,94.9123216749952,64.33333333333331,79.62282750416426,27.86504926516413,58.91971620856421
367740720,COPPER MOUNTAIN,IMO8976607,31.0,2018-09-26 08:34:17+00:00,17.132634945666247,97.2,4.5789104925043205,43.5,94.9123216749952,51.66666666666666,73.28949417083092,31.469460217335012,56.561480589432556
367393940,MISS MY PHUNG,IMO8958538,30.0,2018-09-26 14:22:59+00:00,15.85903382340509,283.5,4.5789104925043205,49.80000000000001,94.9123216749952,44.66666666666666,69.78949417083092,36.56386470637965,56.499242385050415
367095460,MISS DOROTHY,,31.0,2018-09-26 14:23:15+00:00,34.65912434696615,240.7,4.5789104925043205,7.0,94.9123216749952,92.22222222222223,93.56727194860872,0.0,56.140363169165234
367318350,MISS LORAINE,IMO8941054,30.0,2018-09-26 14:24:09+00:00,26.137073750097567,240.9,4.5789104925043205,7.200000000000017,94.9123216749952,91.99999999999999,93.45616083749759,0.0,56.07369650249856
367481310,OSG COURAGEOUS,IMO9395707,31.0,2018-09-26 14:24:56+00:00,32.829216072694905,221.7,4.5789104925043205,12.0,94.9123216749952,86.66666666666667,90.78949417083093,0.0,54.47369650249856
367704020,MISS ALLY,IMO8940658,30.0,2018-09-26 14:23:52+00:00,29.072357458157988,248.0,4.5789104925043205,14.300000000000011,94.9123216749952,84.11111111111109,89.51171639305315,0.0,53.70702983583189
367192710,BAR PILOT,,60.0,2018-09-26 14:24:39+00:00,37.42452542626249,219.2,4.5789104925043205,14.5,94.9123216749952,83.88888888888889,89.40060528194203,0.0,53.64036316916522
538006856,TRF KOBE,IMO9733363,80.0,2018-09-26 07:38:02+00:00,33.663355511294775,36.9,4.5789104925043205,16.799999999999983,94.9123216749952,81.33333333333334,88.12282750416426,0.0,52.873696502498554
367666240,AQUEOS SPLASH,,60.0,2018-09-26 23:16:01+00:00,33.82731081133022,216.8,4.5789104925043205,16.899999999999977,94.9123216749952,81.22222222222226,88.06727194860872,0.0,52.84036316916523
538003693,AMANDA C,IMO9482782,70.0,2018-09-26 14:23:28+00:00,33.40760136597541,71.3,4.5789104925043205,17.600000000000023,94.9123216749952,80.44444444444441,87.6783830597198,0.0,52.60702983583188
367435750,FREEDOM,IMO9584176,31.0,2018-09-26 14:51:44+00:00,33.78967077041209,215.6,4.5789104925043205,18.099999999999994,94.9123216749952,79.8888888888889,87.40060528194205,0.0,52.44036316916523
368185000,DEE WHITE,IMO9127227,31.0,2018-09-26 05:12:57+00:00,33.702335153957236,35.5,4.5789104925043205,18.19999999999999,94.9123216749952,79.77777777777779,87.34504972638649,0.0,52.40702983583189
368674000,HEIDE MORAN,IMO7420390,31.0,2018-09-26 03:16:49+00:00,33.613234012715225,35.4,4.5789104925043205,18.299999999999983,94.9123216749952,79.66666666666669,87.28949417083095,0.0,52.37369650249857
367150170,CANDY BARREL,IMO9550929,60.0,2018-09-26 03:57:14+00:00,20.05064987607333,275.8,4.5789104925043205,42.10000000000002,94.9123216749952,53.22222222222219,74.06727194860869,19.797400495706686,52.35932336744789
477476200,OSLO VENTURE,IMO9693185,70.0,2018-09-26 15:02:23+00:00,38.4966456799409,35.1,4.5789104925043205,18.599999999999994,94.9123216749952,79.33333333333334,87.12282750416426,0.0,52.27369650249856
